stationcode,name,is_installed,capacity,numdocksavailable,numbikesavailable,mechanical,ebike,is_renting,is_returning,duedate,nom_arrondissement_communes,code_insee_commune,longitude,latitude
22207,Rond-point du Dr Albert Schweitzer,True,22,22,0,0,0,True,True,2023-12-03T12:56:12+00:00,Bagneux,,2.3143940046429634,48.78980918988166
92002,Théâtre des Amandiers - Palais des sports,True,23,14,8,3,5,True,True,2023-12-03T12:52:58+00:00,Nanterre,,2.2136941552162,48.892648526839
13030,Italie - Tolbiac,True,21,18,3,1,2,True,True,2023-12-03T12:58:00+00:00,Paris,,2.3576171323657036,48.82557229464416
19027,Serrurier,True,18,18,0,0,0,True,True,2023-12-03T12:48:43+00:00,Paris,,2.39806417375803,48.8804934032465
31028,Raspail Barbès,True,28,20,8,3,5,True,True,2023-12-03T12:59:13+00:00,Montreuil,,2.4247387,48.8529945
17048,De Toqueville - Terrasse,True,30,20,9,6,3,True,True,2023-12-03T13:01:13+00:00,Paris,,2.314002,48.882428
9008,Tour d'Auvergne - Rodier,True,17,13,4,2,2,True,True,2023-12-03T12:53:37+00:00,Paris,,2.343698,48.879161
8103,Artois - Berri,True,23,22,1,1,0,True,True,2023-12-03T12:55:23+00:00,Paris,,2.3064258322119713,48.87393521240818
8048,Marceau - Chaillot,True,21,17,4,2,2,True,True,2023-12-03T12:58:09+00:00,Paris,,2.2986030816809,48.868834023334
14013,Liard - Amiral Mouchez,True,14,13,0,0,0,True,True,2023-12-03T13:01:05+00:00,Paris,,2.342167,48.8214169
48003,Youri Gagarine - Karl Marx,True,22,6,16,0,16,True,True,2023-12-03T13:00:51+00:00,Villejuif,,2.35908430069685,48.78448485079149
16110,Octave Feuillet - Albéric Magnard,True,21,18,3,1,2,True,True,2023-12-03T12:58:46+00:00,Paris,,2.2730283066630363,48.86106902949534
14002,Edgar Quinet - Raspail,True,46,41,5,1,4,True,True,2023-12-03T13:00:53+00:00,Paris,,2.32971478253603,48.83940266673835
9014,Faubourg Montmartre - La Fayette,True,35,27,8,1,7,True,True,2023-12-03T12:59:07+00:00,Paris,,2.340853661298752,48.87525454905335
43009,Place Jean-Spire-Lemaître,True,50,43,5,3,2,True,True,2023-12-03T12:56:16+00:00,Vincennes,,2.452062070369721,48.8468428626593
17032,Jean Oestreicher - Porte de Champerret,True,21,14,7,5,2,True,True,2023-12-03T12:58:31+00:00,Paris,,2.288640439510346,48.88655580065981
8016,Square Louis XVI,True,29,10,17,15,2,True,True,2023-12-03T13:00:44+00:00,Paris,,2.323658830743138,48.87320440102894
10115,Granges aux Belles,True,27,24,3,2,1,True,True,2023-12-03T12:56:29+00:00,Paris,,2.3680844979417,48.8761373390584
