stationcode,name,is_installed,capacity,numdocksavailable,numbikesavailable,mechanical,ebike,is_renting,is_returning,duedate,nom_arrondissement_communes,code_insee_commune,longitude,latitude
7004,Raspail - Varenne,True,18,2,15,11,4,True,True,2023-11-30 13:51:54+00:00,Paris,,2.3263905197382,48.853147816545
92002,Théâtre des Amandiers - Palais des sports,True,23,7,16,4,12,True,True,2023-11-30 13:52:14+00:00,Nanterre,,2.2136941552162,48.892648526839
19027,Serrurier,True,18,18,0,0,0,True,True,2023-11-30 13:44:39+00:00,Paris,,2.39806417375803,48.8804934032465
44017,Jules Guesde - Pont du Port à l'Anglais,True,30,5,25,18,7,True,True,2023-11-30 13:50:19+00:00,Vitry-sur-Seine,,2.417212128639221,48.79628807093802
10013,Alibert - Jemmapes,True,60,49,9,4,5,True,True,2023-11-30 13:52:12+00:00,Paris,,2.3661044619878,48.871044051984
2017,Caire - Dussoubs,True,40,33,7,2,5,True,True,2023-11-30 13:51:37+00:00,Paris,,2.349364310503006,48.86785342111862
9008,Tour d'Auvergne - Rodier,True,17,17,0,0,0,True,True,2023-11-30 13:50:56+00:00,Paris,,2.343698,48.879161
8048,Marceau - Chaillot,True,21,0,18,12,6,True,True,2023-11-30 13:48:49+00:00,Paris,,2.2986030816809,48.868834023334
14013,Liard - Amiral Mouchez,True,14,8,5,4,1,True,True,2023-11-30 13:52:02+00:00,Paris,,2.342167,48.8214169
9002,Abbeville - Faubourg Poissonnière,True,14,11,2,0,2,True,True,2023-11-30 13:42:28+00:00,Paris,,2.349147,48.879223
48003,Youri Gagarine - Karl Marx,True,22,19,2,0,2,True,True,2023-11-30 13:50:09+00:00,Villejuif,,2.35908430069685,48.78448485079149
16110,Octave Feuillet - Albéric Magnard,True,21,11,9,1,8,True,True,2023-11-30 13:52:04+00:00,Paris,,2.2730283066630363,48.86106902949534
14002,Edgar Quinet - Raspail,True,46,37,8,1,7,True,True,2023-11-30 13:51:58+00:00,Paris,,2.32971478253603,48.83940266673835
8053,Place Georges Guillaumin,True,29,4,23,4,19,True,True,2023-11-30 13:51:53+00:00,Paris,,2.301771435325988,48.874750203956566
9001,Bellefond - Poissonnière,True,17,15,1,0,1,True,True,2023-11-30 13:50:31+00:00,Paris,,2.348463758826256,48.87759897050706
17032,Jean Oestreicher - Porte de Champerret,True,21,10,11,7,4,True,True,2023-11-30 13:51:47+00:00,Paris,,2.288640439510346,48.88655580065981
10162,Alexandre Parodi - Quai de Valmy,True,24,20,3,2,1,True,True,2023-11-30 13:46:34+00:00,Paris,,2.366596162319184,48.87935941942529
10115,Granges aux Belles,True,27,19,6,2,4,True,True,2023-11-30 13:44:27+00:00,Paris,,2.3680844979417,48.8761373390584
5005,Gay Lussac - Saint-Jacques,True,24,14,7,0,7,True,True,2023-11-30 13:51:41+00:00,Paris,,2.341923944866407,48.844730256132095
10161,Gare de l'Est - Faubourg-Saint-Martin,True,32,30,0,0,0,True,True,2023-11-30 13:50:49+00:00,Paris,,2.3594588041306,48.875642647477
12031,Gabriel Lamé,True,36,0,34,24,10,True,True,2023-11-30 13:50:29+00:00,Paris,,2.385534569621086,48.8351212784276
7011,Las Cases - Bourgogne,True,22,3,19,16,3,True,True,2023-11-30 13:51:07+00:00,Paris,,2.3185685276985,48.859091104741
5022,Boulangers - Cardinal Lemoine,True,20,9,11,6,5,True,True,2023-11-30 13:52:12+00:00,Paris,,2.3521495,48.8462904
9106,Boudreau - Auber,True,14,5,8,7,1,True,True,2023-11-30 13:47:04+00:00,Paris,,2.329423,48.87219
21328,Verger - Colonel Guichard,True,29,29,0,0,0,True,True,2023-11-30 13:44:15+00:00,Issy-les-Moulineaux,,2.2670380088932,48.816376985087
21323,Charlot - Stade Gabriel Voisin,True,31,0,31,28,3,True,True,2023-11-30 13:52:12+00:00,Issy-les-Moulineaux,,2.268122527474,48.827228120536
9038,Douai - Bruxelles,True,27,25,2,0,2,True,True,2023-11-30 13:44:13+00:00,Paris,,2.3308449949028507,48.88320784122797
31103,Gare Rosny-Bois-Perrier,True,36,19,15,3,12,True,True,2023-11-30 13:47:43+00:00,Rosny-sous-Bois,,2.480436824262142,48.88115023337061
15112,Vigée-Lebrun - Anselme Payen,True,24,23,1,0,1,True,True,2023-11-30 13:49:42+00:00,Paris,,2.3110422492027287,48.838683941628375
6001,Institut de France,True,17,0,16,11,5,True,True,2023-11-30 13:51:25+00:00,Paris,,2.3358313530377,48.857615678565
22409,Henri Barbusse - Stalingrad,True,16,13,2,1,1,True,True,2023-11-30 13:49:59+00:00,Malakoff,,2.2872862592339516,48.814183748660554
19015,Thionville - Ourcq,True,24,18,6,5,1,True,True,2023-11-30 13:45:20+00:00,Paris,,2.3833653330802917,48.88917613743794
